Country,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Actual Annual Rainfall from 2010 to 2020 (mm) 2010,Actual Annual Rainfall from 2010 to 2020 (mm) 2011,Actual Annual Rainfall from 2010 to 2020 (mm) 2012,Actual Annual Rainfall from 2010 to 2020 (mm) 2013,Actual Annual Rainfall from 2010 to 2020 (mm) 2014,Actual Annual Rainfall from 2010 to 2020 (mm) 2015,Actual Annual Rainfall from 2010 to 2020 (mm) 2016,Actual Annual Rainfall from 2010 to 2020 (mm) 2017,Actual Annual Rainfall from 2010 to 2020 (mm) 2018,Actual Annual Rainfall from 2010 to 2020 (mm) 2019,Actual Annual Rainfall from 2010 to 2020 (mm) 2020,YearCode,Year
India,Karnataka,630,Chikkaballapura,5600,Chintamani,2019-20,1047,664,724,505,390,1093,509,887,314,683,992,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,631,Ramanagara,5605,Magadi,2019-20,804,677,497,726,848,1175,742,1090,964,846,978,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,631,Ramanagara,5606,Ramanagara,2019-20,897,896,463,667,787,1093,686,1207,803,947,1088,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,631,Ramanagara,5607,Channapatna,2019-20,737,828,431,776,670,1014,481,1199,913,858,916,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,631,Ramanagara,5608,Kanakapura,2019-20,768,656,412,649,698,790,318,1163,582,872,969,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,635,Yadgir,5587,Shorapur,2019-20,674,479,419,676,548,486,481,611,292,511,826,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,635,Yadgir,5588,Shahpur,2019-20,735,430,490,721,476,547,589,684,359,529,923,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,635,Yadgir,5589,Yadgir,2019-20,1099,746,733,847,580,868,817,795,535,641,1057,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,635,Yadgir,7094,Gurumitkal,2019-20,0,0,0,0,0,0,0,0,0,746,1048,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,635,Yadgir,7095,Wadagera,2019-20,0,0,0,0,0,0,0,0,0,558,1000,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,635,Yadgir,7096,Hunasagi,2019-20,0,0,0,0,0,0,0,0,0,538,718,2019,"Financial Year (Apr - Mar), 2019"
